REF_DATE,GEO,DGUID,Time arriving at work (16),Main mode of commuting (21),Coordinate,Commuting duration (7):Total - Commuting duration[1],Symbol,Commuting duration (7):Less than 15 minutes[2],Symbol.1,Commuting duration (7):15 to 29 minutes[3],Symbol.2,Commuting duration (7):30 to 44 minutes[4],Symbol.3,Commuting duration (7):45 to 59 minutes[5],Symbol.4,Commuting duration (7):60 minutes and over[6],Symbol.5,Commuting duration (7):Average commuting duration (in minutes)[7],Symbol.6
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Total - Main mode of commuting,3.1.1,83910.0,,37815.0,,34420.0,,6740.0,,1830.0,,3100.0,,17.3,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,"Car, truck or van",3.1.2,75940.0,,34000.0,,32295.0,,5640.0,,1515.0,,2490.0,,17.1,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,"Car, truck or van - as a driver",3.1.3,68570.0,,29690.0,,29815.0,,5360.0,,1440.0,,2270.0,,17.3,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Driver (only worker in vehicle),3.1.4,64680.0,,28445.0,,28305.0,,4875.0,,1210.0,,1840.0,,16.9,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Driver with 1 passenger,3.1.5,3325.0,,1125.0,,1345.0,,405.0,,170.0,,280.0,,22.6,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Driver with 2 or more passengers,3.1.6,565.0,,115.0,,160.0,,85.0,,60.0,,145.0,,35.7,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,"Car, truck or van - as a passenger",3.1.7,7365.0,,4315.0,,2485.0,,280.0,,75.0,,215.0,,14.3,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Passenger (only worker in vehicle),3.1.8,4050.0,,2640.0,,1250.0,,110.0,,15.0,,40.0,,12.2,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Passenger with 2 or more workers,3.1.9,2890.0,,1580.0,,1060.0,,140.0,,35.0,,75.0,,14.9,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Passenger with 3 or more workers,3.1.10,425.0,,95.0,,170.0,,25.0,,25.0,,105.0,,30.6,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Sustainable transportation,3.1.11,6340.0,,2780.0,,1865.0,,1010.0,,305.0,,380.0,,19.6,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Public transit,3.1.12,2130.0,,205.0,,625.0,,695.0,,250.0,,345.0,,34.6,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Bus,3.1.13,2100.0,,205.0,,625.0,,695.0,,250.0,,325.0,,34.0,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Subway or elevated rail,3.1.14,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,...
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,"Light rail, streetcar or commuter train",3.1.15,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,...
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Passenger ferry,3.1.16,30.0,,0.0,,0.0,,0.0,,0.0,,20.0,,84.0,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Active transportation,3.1.17,4215.0,,2575.0,,1235.0,,320.0,,55.0,,35.0,,12.0,
2021,"Division No.  1, Newfoundland and Labrador",2021A00031001,Total - Time arriving at work,Walked,3.1.18,4080.0,,2535.0,,1160.0,,305.0,,45.0,,30.0,,11.7,
